Team,Win Rate
Milwaukee Bucks,0.767
Toronto Raptors,0.736
Boston Celtics,0.667
Indiana Pacers,0.616
Miami Heat,0.603
Philadelphia 76ers,0.589
Brooklyn Nets,0.486
Orlando Magic,0.452
Charlotte Hornets,0.354
Washington Wizards,0.347
Chicago Bulls,0.338
New York Knicks,0.318
Detroit Pistons,0.303
Atlanta Hawks,0.299
Cleveland Cavaliers,0.292
Los Angeles Lakers,0.732
Los Angeles Clippers,0.681
Denver Nuggets,0.63
Houston Rockets,0.611
Oklahoma City Thunder,0.611
Utah Jazz,0.611
Dallas Mavericks,0.573
Portland Trail Blazers,0.473
Memphis Grizzlies,0.466
Phoenix Suns,0.466
San Antonio Spurs,0.451
Sacramento Kings,0.431
New Orleans Pelicans,0.417
Minnesota Timberwolves,0.297
Golden State Warriors,0.231
