EVENTNUM,EVENTMSGTYPE,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,VISITORDESCRIPTION,SCOREMARGIN,PLAYER1_ID,PLAYER1_TEAM_CITY,shot time,shot clock usage,closest defender,distance
2,1,1,11:42,,Young 1' Reverse Layup (2 PTS) (Johnson 1 AST),-2.0,201152,Brooklyn,15.039999999999964,15.91,0.6221213792339866,0.35577518435101435
4,2,1,11:14,,MISS Young 21' Jump Shot,-2.0,201152,Brooklyn,44.440000000000055,16.85,7.516597654005435,19.95195511023669
9,1,1,10:44,,Lopez 8' Fadeaway Jumper (2 PTS) (Jack 1 AST),-4.0,201572,Brooklyn,73.37,16.55,3.42381131052808,8.863831615870195
10,2,1,10:29,MISS Thomas 25' 3PT Jump Shot,,-4.0,202738,Boston,89.69000000000005,0.21000000000000085,6.180099980267309,21.919385186254654
12,2,1,10:21,Sullinger BLOCK (1 BLK),MISS Bogdanovic 4' Jump Shot,-4.0,202711,Brooklyn,98.25,7.18,,
14,2,1,10:04,MISS Crowder 19' Pullup Jump Shot,,-4.0,203109,Boston,114.73000000000002,17.23,4.217133302920363,17.44152102992454
16,1,1,9:58,,Bogdanovic  Layup (2 PTS) (Jack 2 AST),-6.0,202711,Brooklyn,120.97000000000003,4.899999999999999,,
19,2,1,9:43,MISS Thomas 18' Jump Shot,,-6.0,202738,Boston,136.39999999999998,15.61,9.716951395890586,19.72735393940353
22,1,1,9:19,,Lopez 7' Jump Bank Shot (4 PTS),-8.0,201572,Brooklyn,158.51,21.62,0.5817717247340225,5.213754541220752
23,1,1,9:07,Bradley 20' Jump Shot (2 PTS) (Crowder 1 AST),,-6.0,202340,Boston,171.69000000000005,10.81,4.243348243651468,19.864176122462265
25,1,1,8:55,,Lopez 12' Jump Shot (6 PTS) (Jack 3 AST),-8.0,201572,Brooklyn,171.69000000000005,,,
29,2,1,8:46,MISS Bradley 21' Jump Shot,,-8.0,202340,Boston,190.76,9.19,2.7109845781376163,21.04114842093226
30,1,1,8:45,Johnson  Putback Dunk (2 PTS),,-7.0,101161,Boston,191.27999999999997,9.19,,
32,2,1,8:28,,MISS Young 2' Layup,-7.0,201152,Brooklyn,207.36,13.29,3.5738613085149242,2.9163119057124147
43,2,1,8:05,Johnson BLOCK (1 BLK),MISS Young 4' Jump Shot,-7.0,201152,Brooklyn,232.32,19.37,1.254774266750796,2.1170171190852467
44,2,1,8:04,Johnson BLOCK (2 BLK),MISS Young  Layup,-7.0,201152,Brooklyn,232.32,19.37,1.254774266750796,2.1170171190852467
47,1,1,7:51,Crowder 2' Driving Finger Roll Layup (4 PTS) (Thomas 1 AST),,-3.0,203109,Boston,246.18,14.25,2.7147415037347473,4.246800406058659
48,2,1,7:33,,MISS Lopez 17' Jump Shot,-3.0,201572,Brooklyn,265.68,15.09,5.692408866244585,18.567026236120842
50,1,1,7:18,Sullinger 21' Jump Shot (2 PTS) (Crowder 2 AST),,-1.0,203096,Boston,279.55,13.01,5.414531531656269,19.8053386849632
51,1,1,7:09,,Lopez 2' Layup (9 PTS) (Jack 4 AST),-3.0,201572,Brooklyn,290.56,8.17,2.3310546910143466,2.763392942326518
55,2,1,6:51,MISS Sullinger 3' Layup,Lopez BLOCK (1 BLK),-3.0,203096,Boston,308.85,19.13,1.4993478681079988,2.5811543070882053
56,1,1,6:49,Sullinger 2' Putback Layup (4 PTS),,-2.0,203096,Boston,308.85,19.13,1.4993478681079988,2.5811543070882053
58,2,1,6:28,,MISS Bogdanovic  3PT Jump Shot,-2.0,202711,Brooklyn,331.41,20.3,4.2678205370422955,23.345960184659358
60,1,1,6:21,Thomas 26' 3PT Pullup Jump Shot (3 PTS),,1.0,202738,Boston,338.07,5.399999999999999,,
61,1,1,6:00,,Johnson 24' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST),-2.0,2207,Brooklyn,358.5,18.69,4.635742776988386,23.439774168238053
62,1,1,5:50,Crowder 26' 3PT Jump Shot (7 PTS) (Thomas 2 AST),,1.0,203109,Boston,368.85,7.93,4.566095238746123,24.360287088575127
63,1,1,5:34,,Johnson 20' Jump Shot (5 PTS) (Jack 5 AST),-1.0,2207,Brooklyn,384.46,13.32,5.003146038574129,21.24890938219889
64,2,1,5:24,MISS Bradley 26' 3PT Jump Shot,,-1.0,202340,Boston,394.54,8.2,6.4862143088939,24.723498606048864
65,1,1,5:23,Johnson  Putback Dunk (4 PTS),,1.0,101161,Boston,394.54,8.2,5.819286874557741,22.652853369553693
67,1,1,5:01,,Johnson 9' Driving Floating Jump Shot (7 PTS) (Jack 6 AST),-1.0,2207,Brooklyn,417.09,18.07,1.8806292679047634,6.369985636537967
68,2,1,4:54,MISS Crowder 6' Jump Shot,,-1.0,203109,Boston,427.72,7.760000000000002,,
73,2,1,4:32,,MISS Johnson 11' Turnaround Fadeaway Shot,-1.0,2207,Brooklyn,445.86,19.5,3.934120481441818,12.167352790960734
75,2,1,4:23,,MISS Bogdanovic 25' 3PT Jump Shot,-1.0,202711,Brooklyn,445.86,19.5,3.9692943183518135,21.99207490449685
76,1,1,4:21,,Reed 1' Putback Layup (2 PTS),-3.0,203186,Brooklyn,455.94,19.5,12.036107569231005,22.140977272582166
78,1,1,4:03,Sullinger 25' 3PT Jump Shot (7 PTS) (Crowder 3 AST),,0.0,203096,Boston,475.78999999999996,14.03,7.473577119458927,24.72729620302228
80,1,1,3:40,Olynyk 1' Alley Oop Layup (2 PTS) (Thomas 3 AST),,2.0,203482,Boston,498.34000000000003,15.21,4.47023074698611,2.00785679270211
81,2,1,3:18,,MISS Young 9' Hook Shot,2.0,201152,Brooklyn,519.77,16.54,0.1648322034676548,3.2673803306318647
83,1,1,3:09,Thomas 1' Driving Finger Roll Layup (5 PTS),,4.0,202738,Boston,528.92,8.94,2.21262334953331,7.26159964136002
88,1,1,2:57,,Johnson 18' Jump Shot (9 PTS) (Ellington 1 AST),2.0,2207,Brooklyn,541.74,11.11,5.470689419195722,18.510370453867207
89,2,1,2:39,MISS Thomas 26' 3PT Jump Shot,,2.0,202738,Boston,560.16,15.63,4.436645144182708,22.745648323826693
93,2,1,2:09,MISS Zeller 20' Jump Shot,,2.0,203092,Boston,589.22,19.240000000000002,5.544406651869973,20.3391578123235
95,2,1,1:57,,MISS Lopez 8' Hook Shot,2.0,201572,Brooklyn,601.78,12.72,2.7039171377836237,8.093201789205558
98,1,1,1:43,,Reed 1' Cutting Layup Shot (4 PTS) (Jack 7 AST),0.0,203186,Brooklyn,616.8,6.559999999999999,1.091100847859631,3.1641610829096605
109,2,1,1:03,,MISS Jack 21' Jump Shot,0.0,101127,Brooklyn,655.58,15.87,1.4970155570667922,21.38442631700462
112,2,1,0:54,MISS Turner 20' Jump Shot,,0.0,202323,Boston,664.3,6.77,4.281670001296222,15.77605169142457
115,1,1,0:44,,Bogdanovic 1' Driving Layup (4 PTS),0.0,202711,Brooklyn,674.41,10.0,1.0527964829918575,5.246400007900649
123,2,1,0:25,MISS Zeller 9' Jump Shot,,0.0,203092,Boston,692.13,11.54,2.69009603520023,8.063635395409442
125,2,1,0:05,,MISS Jack 21' Jump Shot,0.0,101127,Brooklyn,713.76,,4.667829281636167,20.290867758127053
